Variable,Coefficient,p_value,corrected_p_value
RBMY1B,-0.052794574388495094,1.732274133980914e-124,3.556358797062816e-120
RBMY1J,-0.04244866184725076,2.96202380316719e-49,3.0405174339511204e-45
OR13C3,-0.03567194360271259,3.2625025176757606e-42,2.2326392229294452e-38
C14orf165,-0.031529160520026946,4.460646876075024e-25,2.2894270091455062e-21
C7orf66,-0.02909422115228459,2.765787915384639e-21,1.1356325180569326e-17
OR8G2,-0.029205000747037118,7.555882736584916e-20,2.585371209701472e-16
TEX101,-0.036479547135755755,6.124468607861358e-19,1.7962191502770527e-15
OR5D14,0.022998299292499944,5.929169165154121e-18,1.5215730370076763e-14
TTTY23,-0.027922142100345503,3.705348249909978e-16,8.452311063405761e-13
PLSCR2,-0.02465770936226838,3.290107425007778e-12,6.754590543540968e-09
CHIA,-0.03052732588327384,1.0576715949471246e-11,1.9739998040240424e-08
DEFA4,-0.02359964617450703,1.5836983293247337e-11,2.709443891753065e-08
RGPD5,0.029182502166783118,2.2591623582892303e-10,3.3129002296912785e-07
PLGLA,0.019045054531143576,2.1776562068128476e-10,3.3129002296912785e-07
CELA1,-0.024575212368566458,9.536648713425482e-10,1.3052493205775011e-06
P2RX2,-0.03177894213681076,1.1388941778969212e-09,1.461343592013987e-06
SNORD22,-0.022725039145014583,2.4182304777061416e-09,2.9203689239592403e-06
OR8B2,-0.02033218356258746,7.63959109470283e-09,8.71337806523606e-06
DKFZP434H168,-0.0170220525324243,8.571716730817955e-09,9.261965499141716e-06
OR10G2,-0.019897955506589484,1.4439107568608953e-08,1.482174391917709e-05
OR4E2,0.016780041667691377,1.544036676588572e-08,1.5094796652553992e-05
SNORA75,-0.017462760621091648,6.640203392337242e-08,6.186220230888149e-05
SNORA62,-0.018016792713298358,6.93049514420007e-08,6.186220230888149e-05
CST5,-0.020031777182452037,1.3465203740107008e-07,0.00011518359699349869
OR5B12,-0.017149155930638243,2.6520629829755e-07,0.00021778741216194807
OR8B3,0.01950138265788764,4.1973304059221693e-07,0.00033142766628300823
PTCHD2,-0.019895350604830404,1.025094430571415e-06,0.0007794514318381908
COX7B2,-0.01759248441273782,1.7477007300323403e-06,0.001281439142412998
MMP23A,-0.015726421570338073,2.5008578448040926e-06,0.0017704348811664835
FOXD4L5,-0.015104139519732045,4.030038098481626e-06,0.0027578894053942593
RLIM,0.03609774092679223,8.194774336958706e-06,0.005427055391540717
SNORA31,-0.016589502033169248,8.460957585407299e-06,0.00542823310088787
NCRNA00200,-0.01626975452910365,1.768357275498425e-05,0.011001325716964444
C10orf50,0.018316999404179673,2.0852557174521218e-05,0.012591264670380017
LOC284551,0.017613031449372547,2.2583731157634983e-05,0.013246971447607035
OR4F21,-0.013597146451156197,2.3242372462123473e-05,0.013254608517983192
TDGF3,-0.016260797550309066,3.02768698337361e-05,0.01635747730754216
RGPD8,-0.01337879556773181,3.0184172369756432e-05,0.01635747730754216
C14orf115,-0.018795105237735657,3.171693043259786e-05,0.016696117481570107
SNORA20,-0.014264279872899164,3.8568524151873666e-05,0.019795295020949157
DIO3OS,-0.017416587820786353,4.437233120330418e-05,0.02221863316106914
MGC27382,-0.01607443746784373,4.547190460920068e-05,0.022227100038735476
WBP5,0.0226381825832275,4.780972735563361e-05,0.022826365177003677
TREML4,-0.012928204897680724,5.2384253987497814e-05,0.02436894018409136
OR52E6,-0.016431664330082217,5.341462777808628e-05,0.02436894018409136
REXO1L1,-0.0131468805132646,6.796305534365526e-05,0.030332207091418317
ODF1,-0.013319248385787097,7.785758542215606e-05,0.03271911347342464
TCEAL4,0.021997015960219034,7.751279804573677e-05,0.03271911347342464
DNAJB3,-0.01807966740299121,7.809237994144214e-05,0.03271911347342464
PRSS41,-0.013554257760350954,9.235146631141613e-05,0.037919512067467465
PCDH11Y,-0.01488599064614527,9.478909646564252e-05,0.038157257851757664
TCEAL8,0.02197276746354264,9.699273268758795e-05,0.038293476963003475
OR2T4,-0.013924999519745709,0.0001061688113363428,0.041125390504436185
OR1J1,0.014570238811020843,0.0001128122592596145,0.042889549677775654
KRT72,0.016179950408025126,0.00012798478045329562,0.04777322804920289
